Site,Path,Boost,Discard
bodybuilding.com,,8,FALSE
myfitnesspal.com,,7,FALSE
menshealth.com,,7,FALSE
womenshealthmag.com,,7,FALSE
yogajournal.com,,7,FALSE
livestrong.com,,6,FALSE
t-nation.com,,6,FALSE
examine.com,,8,FALSE
darebee.com,,7,FALSE
runnersworld.com,,7,FALSE
nerdfitness.com,,6,FALSE
mindbodygreen.com,,6,FALSE
muscleandfitness.com,,6,FALSE
yogaalliance.org,,7,FALSE
acefitness.org,,8,FALSE
healthline.com/nutrition,,9,FALSE
verywellfit.com,,7,FALSE
popsugar.com,/fitness,5,FALSE
fitnessmagazine.com,,6,FALSE
shape.com,,6,FALSE
